Question,Answer1,Answer2,Answer3,Correct,Image
Vad är skalmans viktigaste uppfinning?,Självgående skottkärran,Mat och sovklockan,Sin helikopter,2,
Vad är Dalarna?,Ett län,Ett land,En by,1,http://www.lansstyrelsen.se/dalarna/SiteCollectionImages/Sv/djur-och-natur/skyddad-natur/hela-lanet-400px.gif
Vem är det på bilden?,Elofant,Pellefant,Eli Eli Fant,2,http://blog.whiking.se/wp-content/uploads/Pellefant.png
Vad heter blomman på bilden?,Blåsippa,Blåsnurra,Blåklocka,3,http://www.luontoportti.com/suomi/images/21043.jpg
Vad heter Sveriges nordligaste stad?,Norrköping,Luleå,Kiruna,3,http://philosophyofthecity.org/media/235/skyline-770x182.png
Vem har namnsdag på julafton?,Eva,Jultomten,Jesus,1,
Vad heter Pokemonen på bilden?,Sleepytron,Snorlax,Roundbelly,2,http://vignette3.wikia.nocookie.net/pokemon/images/9/9f/143Snorlax_OS_anime.png/revision/latest?cb=20140924022259
Vad heter ämnet i Minecraft som kan göra saker automatiska?,Redstone,Electroblock,Diamond,1,http://minecraft.daladevelop.se/img/mclogo.png
Hur tung var den tyngsta uppmätta blåvalen?,20 ton,60 ton,170ton,3,http://www.eurotoys.se/pic/produkter-sized/28-014696_360.jpg
Hur många volt är det oftast i ett vägguttag?,5V,24V,230V,3,http://image.freepik.com/free-icon/warning-voltage-sign-of-a-bolt-inside-a-triangle_318-48694.jpg
Vilken skidklubb representerar landslagsåkaren Calle Halfvarsson?,Sågmyra IK,Bjursås IK,Grycksbo IF,1,http://y.cdn-expressen.se/images/d4/ed/d4ed01598cf342e7ab9fca424aa233f1/16x9/680.jpg
Mästerkatten är känd för att gå i…?,Skolan,Stövlar,Skymundan,2,http://cdn3.cdnme.se/cdn/7-1/3009591/images/2012/masterkatten_i_stovlar_186889842.jpg
